Date,Open,High,Low,Close,Volume
22-09-1994,1.0961,1.0961,1.0757,1.0847,40783411
23-09-1994,1.0847,1.1038,1.0847,1.0859,37057082
26-09-1994,1.0847,1.1038,1.0757,1.0859,39518403
27-09-1994,1.0807,1.0924,1.0694,1.0847,30422813
28-09-1994,1.0886,1.1014,1.0757,1.0847,22664038
29-09-1994,1.0807,1.1014,1.0694,1.0924,30504003
30-09-1994,1.0924,1.1038,1.0757,1.0784,19996575
03-10-1994,1.0757,1.0807,1.0399,1.0604,36141898
04-10-1994,1.0641,1.0886,1.0566,1.0807,45287486
05-10-1994,1.0757,1.2204,1.0694,1.2128,197951181
06-10-1994,1.1974,1.1999,1.1526,1.1601,146947714
07-10-1994,1.1563,1.1871,1.1371,1.1845,101622750
10-10-1994,1.1884,1.2677,1.1845,1.2446,145970073
11-10-1994,1.3255,1.3407,1.2614,1.2677,234905205
12-10-1994,1.2677,1.3638,1.2526,1.3486,166581982
13-10-1994,1.3638,1.373,1.2998,1.3164,146497944
14-10-1994,1.3294,1.3447,1.3089,1.3164,49098142
17-10-1994,1.3089,1.3294,1.2446,1.273,84777784
18-10-1994,1.2998,1.332,1.2959,1.3202,130708685
19-10-1994,1.3126,1.3486,1.3126,1.3202,97912037
20-10-1994,1.3202,1.3394,1.2959,1.3126,60836214
21-10-1994,1.305,1.3689,1.305,1.3638,89997128
24-10-1994,1.3689,1.3807,1.3407,1.3524,57031813
25-10-1994,1.332,1.3638,1.3294,1.3638,84078113
26-10-1994,1.3638,1.3841,1.3638,1.3841,54876602
27-10-1994,1.3841,1.4012,1.3599,1.3689,44456642
28-10-1994,1.3575,1.373,1.3366,1.3486,76225654
31-10-1994,1.3447,1.3894,1.3294,1.3821,99255144
01-11-1994,1.373,1.392,1.3575,1.3807,60823726
02-11-1994,1.3807,1.3841,1.3255,1.3255,61004885
03-11-1994,1.3366,1.3447,1.3126,1.3294,30822605
04-11-1994,1.3294,1.332,1.2808,1.2933,53558474
07-11-1994,1.2933,1.3202,1.2844,1.305,31525396
08-11-1994,1.2998,1.3638,1.2883,1.3524,97321708
09-11-1994,1.3689,1.3769,1.3126,1.332,113320234
10-11-1994,1.3366,1.3407,1.3126,1.3229,42663748
11-11-1994,1.3202,1.3294,1.3126,1.3164,17366608
14-11-1994,1.3202,1.3689,1.3202,1.3599,38940556
15-11-1994,1.3599,1.3769,1.3202,1.3255,46746173
16-11-1994,1.305,1.3307,1.2998,1.3104,52262238
17-11-1994,1.3089,1.3126,1.2768,1.2808,41954719
18-11-1994,1.2808,1.2959,1.2677,1.2808,41005174
21-11-1994,1.2808,1.2883,1.2167,1.2204,56500823
22-11-1994,1.2089,1.2526,1.1921,1.1974,62563516
23-11-1994,1.1845,1.2128,1.1655,1.1808,91421436
25-11-1994,1.1808,1.2089,1.1768,1.2089,23488652
28-11-1994,1.2037,1.2241,1.1949,1.2115,38675050
29-11-1994,1.2167,1.2321,1.2089,1.2241,40196190
30-11-1994,1.2294,1.2614,1.1845,1.1921,87020447
01-12-1994,1.1845,1.2037,1.1526,1.1577,86264544
02-12-1994,1.1679,1.1768,1.1399,1.1704,48039280
05-12-1994,1.1679,1.1974,1.1563,1.1898,50275689
06-12-1994,1.1845,1.2294,1.1808,1.2026,66399149
07-12-1994,1.2013,1.2115,1.1549,1.1718,38290861
08-12-1994,1.1808,1.1845,1.1449,1.1487,47370854
09-12-1994,1.1487,1.1655,1.1128,1.1601,72711718
12-12-1994,1.1655,1.1768,1.1371,1.1679,62491670
13-12-1994,1.1718,1.182,1.1601,1.1655,33243307
14-12-1994,1.1679,1.2204,1.1679,1.2128,86851758
15-12-1994,1.2167,1.2294,1.1808,1.1884,63472436
16-12-1994,1.1921,1.2089,1.1768,1.1921,50138262
19-12-1994,1.1921,1.2614,1.1921,1.2526,92817633
20-12-1994,1.2526,1.2562,1.2294,1.2321,48845146
21-12-1994,1.2128,1.2321,1.2013,1.2294,43906913
22-12-1994,1.2321,1.2446,1.2241,1.2361,37113298
23-12-1994,1.2321,1.2614,1.2321,1.2446,26184227
27-12-1994,1.2562,1.273,1.2446,1.2526,22845212
28-12-1994,1.2526,1.2562,1.2241,1.2526,24866114
29-12-1994,1.2562,1.2768,1.2526,1.2653,33839897
30-12-1994,1.2614,1.2768,1.2407,1.2485,20383900
03-01-1995,1.2446,1.2446,1.2128,1.2294,28967264
04-01-1995,1.2361,1.2677,1.2361,1.2614,44253608
05-01-1995,1.2562,1.2614,1.2407,1.2446,20536941
06-01-1995,1.332,1.3807,1.3164,1.3447,300251742
09-01-1995,1.332,1.3407,1.3126,1.319,76438048
10-01-1995,1.3202,1.4085,1.3202,1.3987,171454628
11-01-1995,1.4012,1.5394,1.3663,1.4969,243694708
12-01-1995,1.4764,1.4856,1.4327,1.4534,153881867
13-01-1995,1.4764,1.4764,1.4216,1.4366,97993256
16-01-1995,1.4366,1.4486,1.4162,1.4243,52702655
17-01-1995,1.4243,1.4572,1.4123,1.4406,92061738
18-01-1995,1.4406,1.4598,1.4327,1.4598,35601539
19-01-1995,1.4572,1.4728,1.4406,1.4691,87651374
20-01-1995,1.5048,1.5048,1.3599,1.3638,278983903
23-01-1995,1.3407,1.3638,1.3126,1.3524,111146272
24-01-1995,1.3524,1.3575,1.3255,1.332,60823726
25-01-1995,1.2653,1.3447,1.2653,1.3112,144202170
26-01-1995,1.3089,1.3294,1.2562,1.2653,68713657
27-01-1995,1.2768,1.2933,1.2485,1.2768,83265993
30-01-1995,1.2844,1.2959,1.2768,1.2844,64306425
31-01-1995,1.2959,1.3089,1.2808,1.2933,59340073
01-02-1995,1.305,1.305,1.2768,1.2844,44166148
02-02-1995,1.2844,1.3407,1.2844,1.332,56775673
03-02-1995,1.3447,1.3486,1.2933,1.2959,89022599
06-02-1995,1.305,1.305,1.2653,1.2959,67776606
07-02-1995,1.2933,1.3126,1.2808,1.3075,56222820
08-02-1995,1.3126,1.3575,1.3089,1.355,112351936
09-02-1995,1.3486,1.405,1.3486,1.396,132579659
10-02-1995,1.396,1.4136,1.3894,1.4012,97877696
13-02-1995,1.3932,1.4243,1.3841,1.4012,79027423
14-02-1995,1.4012,1.4123,1.3638,1.3741,46187043
